NAME,EXPLANE,GENRE,PLAYTIME,DLEVEL,MINPEOPLE,MAXPEOPLE,PUBYEAR,AGE,YOUTUBE_LINK,NAMU_LINK,SHOP_LINK,GIMAGE
보난자,콩카드를 심고 모아서 금화를 획득합니다. 독특한건 손 안의 카드를 사용할 때 순서가 고정되어 있어서 마음대로 되지 않습니다. 그래서 다른 사람과 카드 교환을 통해서 효율적인 플레이를 강구해야합니다.,협상,45,2,3,5,1997,13,https://www.youtube.com/watch?v=sQVG5UWCSLg&ab_channel=%EC%95%8C%EC%93%B8%EC%8B%A0%EC%84%A0%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84TV,https://namu.wiki/w/%EB%B3%B4%EB%82%9C%EC%9E%90,https://www.coupang.com/vp/products/1744522?itemId=7612149&vendorItemId=3000159650&pickType=COU_PICK&q=%EB%B3%B4%EB%82%9C%EC%9E%90&itemsCount=36&searchId=c1b7bf8f2f584576b7ea83958c61bbc3&rank=0&isAddedCart=,보난자.png
아임 더 보스,이 구역의 보스는 나야,협상,45,2,3,6,2013,12,https://www.youtube.com/watch?v=ERBzRvZS4kU&ab_channel=%EC%95%8C%EC%93%B8%EC%8B%A0%EC%84%A0%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84TV,https://namu.wiki/w/%EC%95%84%EC%9E%84%20%EB%8D%94%20%EB%B3%B4%EC%8A%A4,,아임더보스.png
차이나타운,1960년대 뉴욕 새로운 이민법이 채택되면서 수많은 중국 이민자들이 차이나 타운으로 흘러들어옵니다. 남녀를 가리지 않고 성실히 일하는 이민자들은 이곳의 건물을 사고 점포를 확장하며 아메리칸 드림을 이루어 나가고 있습니다. 이제 우리는 이민자의 일원이 되어 번뜩이는 거래로 부를 축적해 가장 성공한 사업가가 되어보세요.,협상,60,3,3,5,2018,14,https://www.youtube.com/watch?v=7wUifg2cbxk&ab_channel=hyunong,https://namu.wiki/w/%EC%B0%A8%EC%9D%B4%EB%82%98%ED%83%80%EC%9A%B4(%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84),https://www.coupang.com/vp/products/7044510815?itemId=17430545811&vendorItemId=85147720244&q=%EC%B0%A8%EC%9D%B4%EB%82%98%ED%83%80%EC%9A%B4&itemsCount=36&searchId=1ff5c1752718454bbe781aae92fa0fa0&rank=0&isAddedCart=,차이나타운.png
좀비사이드,여명 저너머에서 죽은 자들이 걸어나오기 시작했습니다!,협동,60,3,1,6,2012,14,https://www.youtube.com/watch?v=VstiObWHAG0&pp=ygUj7KKA67mE7IKs7J2065OcIOuztOuTnOqyjOyehCDshKTrqoU%3D&ab_channel=%EB%B3%B4%EB%93%9C%EB%9D%BC%EC%9D%B4%EB%B8%8CBoardLiveGame,https://namu.wiki/w/%EC%A2%80%EB%B9%84%EC%82%AC%EC%9D%B4%EB%93%9C,https://www.coupang.com/vp/products/7372083959?itemId=19019557903&vendorItemId=86144042985&q=%EC%A2%80%EB%B9%84%EC%82%AC%EC%9D%B4%EB%93%9C+2%ED%8C%90&itemsCount=36&searchId=069aab0c6a09402fb49564d0e6736b6d&rank=7,좀비사이드.png
크툴루 죽음마저 죽으리니,이교도들이 바보같은 의식을 또 다시 벌이고 있다.고대 신을 소환하여 이 세상을 파괴하려 한다. 여느 때처럼.하지만 우리는 다른 계획을 세웠다.놈들의 보잘 것 없는 의식을 방해할 것이다.쉽지는 않겠지. 어쩌면 미쳐버릴지도... 하지만 문제없다.우리,협동,90,3,1,4,2019,14,https://www.youtube.com/watch?v=PNJwPtg-os8&ab_channel=hyunong,https://namu.wiki/w/%ED%81%AC%ED%88%B4%EB%A3%A8%20%EC%A3%BD%EC%9D%8C%EB%A7%88%EC%A0%80%20%EC%A3%BD%EC%9C%BC%EB%A6%AC%EB%8B%88,https://www.coupang.com/vp/products/7197409331?itemId=18185038776&vendorItemId=85333954296&q=%ED%81%AC%ED%88%B4%EB%A3%A8+%EC%A3%BD%EC%9D%8C%EB%A7%88%EC%A0%80+%EC%A3%BD%EC%9C%BC%EB%A6%AC%EB%8B%88&itemsCount=36&searchId=1ab1e76120f7480986edb599226b4e4f&rank=0&isAddedCart=,크툴루 죽음마저 죽으리니.png
정령섬,세상의 가장 먼 곳에도 땅과 하늘과 모든 자연의 영혼으로 구현된 마법이 여전히 존재합니다. 유럽의 강대국이 식민 제국을 점점 더 확장함에 따라 그들은 필연적으로 영혼이 여전히 권력을 쥐고 있는 곳을 주장할 것입니다. 그렇게 할 때 땅 자체는 그곳에 사는 섬 주민들과 함께 반격할 것입니다.,협동,90,4,1,4,2017,14,https://www.youtube.com/watch?v=OKYJ6VcFVxo&ab_channel=hyunong,https://namu.wiki/w/%EC%A0%95%EB%A0%B9%EC%84%AC,https://www.coupang.com/vp/products/7397144618?itemId=19137842673&vendorItemId=86257248430&q=%EC%A0%95%EB%A0%B9%EC%84%AC+%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84&itemsCount=36&searchId=1c6912d37edd4bc5859051167cd9e81d&rank=2,정령섬.png
하나비,이 집단 게임에서는 모든 플레이어가 협력하여 아름다운 불꽃놀이를 만듭니다. 그러나 모든 플레이어는 자신의 카드를 앞뒤로 잡아야 합니다. 자신의 카드를 볼 수 없습니다! 따라서 파트너에게 현명한 조언을 제공하고 수집된 모든 정보를 기억해야 합니다.,협동,25,2,2,5,2010,8,https://www.youtube.com/watch?v=IWe07PDo2yE&pp=ygUd7ZWY64KY67mEIOuztOuTnOqyjOyehCDshKTrqoU%3D&ab_channel=%EB%B3%B4%EB%93%9C%EB%9D%BC%EC%9D%B4%EB%B8%8CBoardLiveGame,https://namu.wiki/w/%ED%95%98%EB%82%98%EB%B9%84(%EB%B3%B4%EB%93%9C%20%EA%B2%8C%EC%9E%84),https://www.coupang.com/vp/products/6209444904?itemId=12369097838&vendorItemId=79735273982&q=%ED%95%98%EB%82%98%EB%B9%84&itemsCount=36&searchId=1c332cb37a8645fcb0e4c60eb3eaa15d&rank=1&isAddedCart=,하나비.png
팀3 핑크,"""내가 너의 눈이 되어주리라""",협동,30,2,3,6,2019,14,https://www.youtube.com/watch?v=KQun3hGWxPU&t=131s&ab_channel=hyunong,,https://www.coupang.com/vp/products/7197408976?itemId=18185037801&vendorItemId=85333953949&q=%ED%8C%803+%ED%95%91%ED%81%AC&itemsCount=36&searchId=f0782ad8f24c4036850be3746207ef4d&rank=1,팀3 핑크.png
더 마인드,"""너의 마음을 보여줘...!""눈을 감고 손에는 카드를 들고....모두 한마음이 될 준비가 되었나요?",협동,15,2,2,4,2018,8,https://www.youtube.com/watch?v=Eyyuv_3z9qw&ab_channel=%EC%95%8C%EC%93%B8%EC%8B%A0%EC%84%A0%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84TV,,https://www.coupang.com/vp/products/7345641201?itemId=18890449245&vendorItemId=86018560346&q=%EB%8D%94+%EB%A7%88%EC%9D%B8%EB%93%9C&itemsCount=36&searchId=cdd87d7cb7fd41b9b2434f3521ea3665&rank=1,더 마인드.png
팬데믹,우리는 바이러스로부터 세계를 구할 수 있을 것인가?! 바이러스로 지구전역이 전염되버렸다!! 서로의 협동을 바탕으로 백신을 개발하자!! 각자의 능력들을 통하여 빠른시간 내에 각 나라에 퍼진 바이러스를 치료하자!,전략,60,3,2,4,2018,8,https://www.youtube.com/watch?v=YoMZIl9p1OI,https://namu.wiki/w/%ED%8C%AC%EB%8D%B0%EB%AF%B9(%EA%B2%8C%EC%9E%84),https://www.coupang.com/vp/products/2129291?itemId=9650289&vendorItemId=3013990782&pickType=COU_PICK&q=%ED%8C%AC%EB%8D%B0%EB%AF%B9&itemsCount=36&searchId=2d633f6c9c84446d9f311f96ac2f88b2&rank=1,팬데믹.png
글룸헤이븐: 사자의 턱,암울한 판타지 세계관에서 던전과 잊혀진 폐허를 탐험하는 모험가들의 이야기,협동,60,4,1,4,2017,12,https://www.youtube.com/watch?v=Wck7YRZ77Xk&pp=ygUj6riA66O47Zek7J2067iQIOuztOuTnOqyjOyehCDshKTrqoU%3D&ab_channel=%EB%B3%B4%EB%93%9C%EB%9D%BC%EC%9D%B4%EB%B8%8CBoardLiveGame,https://namu.wiki/w/%EA%B8%80%EB%A3%B8%ED%97%A4%EC%9D%B4%EB%B8%90:%20%EC%82%AC%EC%9E%90%EC%9D%98%20%ED%84%B1,https://www.coupang.com/vp/products/6918165459?itemId=16696720712&vendorItemId=86250441937&q=%EA%B8%80%EB%A3%B8%ED%97%A4%EC%9D%B4%EB%B8%90+%EC%82%AC%EC%9E%90%ED%84%B1&itemsCount=22&searchId=3c9fe38a26b7443d96ca6ad52f2fb757&rank=1,글룸헤이븐 사자의 턱.png
도라스레,당신은 사악한 드래곤에 위협받는 도시를 구하기 위해 각지에서 모인 모험가 중 하나입니다.다른 모험가와 협력하여 경험치와 아이템을 모아 강대한 드래곤에 도전합니다.,협동,30,2,2,5,2014,10,https://www.youtube.com/watch?v=XtikSBxUS5U&pp=ygUh64-E65287Iqk66CIICDrs7Trk5zqsozsnoQg7ISk66qF&ab_channel=%EB%AA%A8%EB%91%90%EC%9D%98%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84,https://namu.wiki/w/%EB%8F%84%EB%9D%BC%EC%8A%A4%EB%A0%88,https://www.coupang.com/vp/products/7225167343?itemId=18319578684&vendorItemId=86032521324&q=DORASURE&itemsCount=12&searchId=1549d386b3c0439e8ebb2774c0c4acd3&rank=1,도라스레.png
데드 오브 윈터,"""Crossroads"" 는 Plaid Hat Games의 게임 시리즈로 생존자 그룹이 외부와 내부의 위기와 도전에 직면하면서 함께 일하고 살아남는 능력을 테스트합니다.",협동,120,3,2,5,2014,14,https://www.youtube.com/watch?v=1bCHkHLwJdA&pp=ygUo642w65OcIOyYpOu4jCDsnIjthLAg67O065Oc6rKM7J6EIOyEpOuqhQ%3D%3D&ab_channel=DEVALL%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84,https://namu.wiki/w/%EB%8D%B0%EB%93%9C%20%EC%98%A4%EB%B8%8C%20%EC%9C%88%ED%84%B0,https://www.coupang.com/vp/products/22008072?itemId=85740445&vendorItemId=3145810767&q=%EB%8D%B0%EB%93%9C+%EC%98%A4%EB%B8%8C+%EC%9C%88%ED%84%B0&itemsCount=36&searchId=be735e1c4b214b269c2bd5160061a7c1&rank=0,데드 오브 윈터.png
루미큐브,안해본 사람 있나요? 제발 없게 해주세요! 중독성 강한 숫자게임! 계산력과 집중력을 강화시키고 이리 쪼개고 저리 붙이고 훌라와 비슷한 게임!,IQ,30,2,2,4,1977,8,https://www.youtube.com/watch?v=MnC688HVID8&ab_channel=%EC%95%8C%EC%93%B8%EC%8B%A0%EC%84%A0%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84TV,https://namu.wiki/w/%EB%A3%A8%EB%AF%B8%ED%81%90%EB%B8%8C,https://www.coupang.com/vp/products/1862534223?itemId=3166046126&vendorItemId=3001754339&q=%EB%A3%A8%EB%AF%B8%ED%81%90%EB%B8%8C&itemsCount=36&searchId=6f881c8dc6124804b94fc3d36135b06e&rank=0,루미큐브
세트,누구보다 빨리 3장의 카드 세트를 찾아라! 모양 색깔 음영 갯수 이 네가지가 같거나 다르거나! 집중하느라 주변 소리도 들리지 않는 유명한 멘사 추천IQ게임!!,IQ,30,2,2,7,1998,6,https://www.youtube.com/watch?v=hja-BQDF45M,,https://www.coupang.com/vp/products/1298850?itemId=5636384&vendorItemId=3000165013&q=%EC%84%B8%ED%8A%B8&itemsCount=36&searchId=b1674bbc94704bf088a966222860dffc&rank=1,세트
젬블로,육각형 타일을 이용한 아이큐게임!! 자기 색의 타일을 최대한 많이 올려놓아 남는 타일의 개수를 줄이는 사람이 승리!,IQ,20,2,2,6,2003,6,https://www.youtube.com/watch?v=0bulqQKKN1c,https://namu.wiki/w/%EC%A0%AC%EB%B8%94%EB%A1%9C,https://www.coupang.com/vp/products/1203209?itemId=5208790&vendorItemId=3006497156&q=%EC%A0%AC%EB%B8%94%EB%A1%9C&itemsCount=36&searchId=1a18e971c673438394f9bba3e0cf4ca6&rank=0&isAddedCart=,젬블로
러시아워 딜럭스,정신 없는 교통정리 퍼즐! 길을 막고 있는 차들을 움직여 빨간색 차가 출구로 빠져 나갈 수 있게 하자!,IQ,20,1,1,1,1997,8,https://www.youtube.com/watch?v=NSc7kGcL5Vo,https://namu.wiki/w/%EB%9F%AC%EC%8B%9C%EC%95%84%EC%9B%8C%20%EC%8B%9C%EB%A6%AC%EC%A6%88,https://www.coupang.com/vp/products/123440?itemId=228443&vendorItemId=3000160029&q=%EB%9F%AC%EC%8B%9C%EC%95%84%EC%9B%8C&itemsCount=36&searchId=685d54bfe7f04eb2be446158200a831d&rank=0,러시아워 딜럭스.png
마법의 미로,마법의 미로속에서 보물을 찾아내자!! 미로안은 온갖마법들로 장애물들이 설치되어있다!! 장애물의 위치를 기억하여 미로속에서 보물을 찾자!!,IQ,20,2,2,4,2009,6,https://www.youtube.com/watch?v=JYbcRPLUtj0,,https://www.coupang.com/vp/products/7828108?itemId=34246460&vendorItemId=3050706229&q=%EB%A7%88%EB%B2%95%EC%9D%98%EB%AF%B8%EB%A1%9C&itemsCount=36&searchId=b052d20c65e24a14872543cfff03d1e0&rank=1,마법의 미로.png
스크래블,지니어스 들을 위한 영어게임! 꼬리에 꼬리를 무는 영어 단어 게임! 보드에 놓여진 타일과 손에 숨겨진 타일로 단어를 만들자!,IQ,20,2,2,4,1948,10,https://www.youtube.com/watch?v=RYeXv1vmLGM,https://namu.wiki/w/%EC%8A%A4%ED%81%AC%EB%9E%98%EB%B8%94,https://www.coupang.com/vp/products/6612398264?itemId=14999835448&vendorItemId=82222713977&q=%EC%8A%A4%ED%81%AC%EB%9E%98%EB%B8%94&itemsCount=36&searchId=166c4d43f0614500bd61f8e9253b268f&rank=1,스크래블.png
언락,모바일 앱과 연동하여 탈출하는 신개념 방탈출 보드게임 누가더 빨리 탈출할 수 있을까!,IQ,60,3,2,6,2017,10,https://www.youtube.com/watch?v=dhZIscjg6xs&pp=ygUa7Ja46529IOuztOuTnOqyjOyehCDshKTrqoU%3D&ab_channel=%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84BOX,,https://www.coupang.com/vp/products/102259808?itemId=311373246&vendorItemId=3766705217&q=%EC%96%B8%EB%9D%BD&itemsCount=36&searchId=2c2a8d399508404db948bf49b9a275a8&rank=1,언락.png
쿼클,같은 모양의 다른 색깔 다른 모양의 같은 색깔! 여섯 색깔의 타일이 만드는 두뇌 게임,IQ,20,2,2,4,2006,6,https://www.youtube.com/watch?v=ySOf4SogWmA&ab_channel=%EC%95%8C%EC%93%B8%EC%8B%A0%EC%84%A0%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84TV,https://namu.wiki/w/%EC%BF%BC%ED%81%B4,https://www.coupang.com/vp/products/1298842?itemId=5636369&vendorItemId=3007143230&q=%EC%BF%BC%ED%81%B4&itemsCount=36&searchId=09e92ee228aa4d278206784ca46c6b06&rank=1&isAddedCart=,쿼클.png
인지니어스,같은 기호를 모으자!! 같은 기호끼리 최대한 많은 직선을 확보하자!!. 하지만 편식은 금물... 여러 기호들을 골고루 모아야 한다,IQ,20,2,2,4,2004,8,https://www.youtube.com/watch?v=eBkZgN0e8rg&ab_channel=%EC%95%8C%EC%93%B8%EC%8B%A0%EC%84%A0%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84TV,,https://www.coupang.com/vp/products/324722274?itemId=1039545056&vendorItemId=5496434942&q=%EC%9D%B8%EC%A7%80%EB%8B%88%EC%96%B4%EC%8A%A4&itemsCount=36&searchId=9def10caf9854a21854db001fd136e0c&rank=1,인지니어스.png
치킨차차,닭들의 꼬리물기 게임! 누가 더 기억력이 좋을까? 서로의 꼬리를 누가 먼저 빼았을지 암기력으로 승부하자!,IQ,20,2,2,4,1997,4,https://www.youtube.com/watch?v=VxLjbTnUiLc,,https://www.coupang.com/vp/products/282681258?itemId=897375151&vendorItemId=5252709056&pickType=COU_PICK&q=%EC%B9%98%ED%82%A8%EC%B0%A8%EC%B0%A8&itemsCount=36&searchId=30ba821a890147a2b760acbda1dfee62&rank=0&isAddedCart=,치킨차차.png
라온,즐거운 한글 낱말 게임! 자음과 모음 타일을 이용하여 단어를 직접 나열하고 구성하는게임! 모래시계의 모래가 다 떨어지면 게임이 끝나고 단어의 점수를 계산하여 점수가 높은 플레이어가 승리하는게임,IQ,15,2,2,4,2010,8,https://www.youtube.com/watch?v=ceMdnSr7ix4&ab_channel=%EC%BD%94%EB%A6%AC%EC%95%84%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84%EC%A6%88,https://namu.wiki/w/%EB%9D%BC%EC%98%A8(%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84),https://www.coupang.com/vp/products/4869232?itemId=22184921&vendorItemId=3032432076&pickType=COU_PICK&q=%EB%9D%BC%EC%98%A8&itemsCount=36&searchId=5b21b091df6047e297b856e3131045be&rank=0&isAddedCart=,라온.png
로보 77,서로 본인이 내는 숫자를 계산하면서 카드를 내자! 77을 넘기면 생명칩을 하나 잃게 된다. 11 22 33.... 11의 배수도 조심하자!,IQ,15,2,2,4,1993,8,https://www.youtube.com/watch?v=bys6ZwvODMQ,https://namu.wiki/w/%EB%A1%9C%EB%B3%B4%2077?from=%EB%A1%9C%EB%B3%B477,https://www.coupang.com/vp/products/1298814?itemId=5636322&vendorItemId=3000159651&pickType=COU_PICK&q=%EB%A1%9C%EB%B3%B477&itemsCount=36&searchId=0fa116a8edcd4a96a10323345d000837&rank=1&isAddedCart=,로보77.png
스피디피커스,스피디 피커스 주식회사에 오신걸 환영합니다! 창고에서 자고 있는 숨겨진 보물들을 찾아 경매사이트에 올리세요! 원하는 고객에게 정확히 물건을 찾아 팔면 많은 돈을 벌 수 있습니다!,IQ,30,3,2,6,2017,10,https://www.youtube.com/watch?v=l1zz-sU01Ak&ab_channel=%EC%BD%94%EB%A6%AC%EC%95%84%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84%EC%A6%88,,https://www.coupang.com/vp/products/181930223?itemId=521199536&vendorItemId=4347266929&q=%EC%8A%A4%ED%94%BC%EB%94%94+%ED%94%BC%EC%BB%A4%EC%8A%A4+%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84&itemsCount=22&searchId=4778acfc89e743a0bf0b225d7e113990&rank=19,스피디피커스.png
포션폭발,전설의 재료들을 사용해 콤보를 만들어 다양한 물약을 만들어서 물약의 효과로 더 큰 시너지를 만드는게임!,IQ,45,2,2,4,2015,8,https://www.youtube.com/watch?v=oYyfeQQDL6A&ab_channel=hyunong,,https://www.coupang.com/vp/products/7230775664?itemId=18347013968&vendorItemId=85799352946&q=%ED%8F%AC%EC%85%98%ED%8F%AD%EB%B0%9C&itemsCount=36&searchId=125ac5a6f4494ae88803a8ce9f000d80&rank=1,포션폭발.png
파라오코드,진정한 산수게임! 주사위 세 개를 굴려 나온 숫자를 사칙연산 하여 빠른 시간 내에 높은 점수의 답을 찾아내는 게임! 진정한 수학의 강자는?,IQ,30,2,2,5,2011,9,https://www.youtube.com/watch?v=rGqhxpXaEQA&ab_channel=%EC%95%8C%EC%93%B8%EC%8B%A0%EC%84%A0%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84TV,,https://www.coupang.com/vp/products/1298849?itemId=5636383&vendorItemId=3007143238&pickType=COU_PICK&q=%ED%8C%8C%EB%9D%BC%EC%98%A4%EC%BD%94%EB%93%9C&itemsCount=36&searchId=fba8cb6f3b0142c79423c5b022994bcc&rank=1&isAddedCart=,파라오코드.png
몬스터팩토리,타일을 뽑아서 몬스터를 완성하자! 부하괴물도 있고 대장 괴물도 있다! 가볍게 즐길 수 있는 타일 놓기 게임!,IQ,30,2,2,6,2012,5,https://www.youtube.com/watch?v=IaYm4Q7xXpY&pp=ygUm66qs7Iqk7YSw7Yyp7Yag66asIOuztOuTnOqyjOyehCDshKTrqoU%3D&ab_channel=%EB%AA%A8%EB%82%98%EA%B9%8C,,https://search.danawa.com/dsearch.php?query=Monster+Factory+%EB%B3%B4%EB%93%9C+%EA%B2%8C%EC%9E%84,몬스터팩토리.png
리코세로봇,머리가 깨질듯한 두뇌싸움! 총알처럼 튀는 로봇의 최단 경로를 찾아보자 날고 기는 브레인들은 다 모여라!,IQ,50,3,2,4,1999,10,https://www.youtube.com/watch?v=_rVldRqVyAo&pp=ygUj66as7L2U7IS466Gc67SHIOuztOuTnOqyjOyehCDshKTrqoU%3D&ab_channel=%EB%B3%B4%EB%93%9C%EB%9D%BC%EC%9D%B4%EB%B8%8CBoardLiveGame,,https://www.coupang.com/vp/products/221960862?itemId=694953247&vendorItemId=72105397291&q=%EB%A6%AC%EC%BD%94%EC%84%B8%EB%A1%9C%EB%B4%87&itemsCount=18&searchId=1c91d9b2b24249ef8c291c7ac358e49c&rank=1,리코세로봇.png
에니그마,세계대전 당시 독일 연합군은 각 분야의 수재들을 모아 암호 해독팀을 꾸리는데...  천재 수학자가 되어 함께 암호를 해독해 보자!,IQ,40,4,2,4,2012,8,https://www.youtube.com/watch?v=j--S6NCcVPM&ab_channel=%EC%BD%94%EB%A6%AC%EC%95%84%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84%EC%A6%88,,https://www.coupang.com/np/search?component=&q=%EC%95%A0%EB%8B%88%EA%B7%B8%EB%A7%88&channel=user,에니그마.png
라스베가스(라스베이거스),환상의 라스베가스에서 본인의 운을 시험해보자! 전략과 운 둘 다 필요한 배팅게임! 가장 높은 금액을 얻을 승자는?,전략,30,2,3,5,2012,8,https://www.youtube.com/watch?v=v_4BSTod5ls,https://namu.wiki/w/%EB%9D%BC%EC%8A%A4%EB%B2%A0%EC%9D%B4%EA%B1%B0%EC%8A%A4(%EB%B3%B4%EB%93%9C%20%EA%B2%8C%EC%9E%84),https://www.coupang.com/np/search?component=&q=%EB%9D%BC%EC%8A%A4%EB%B2%A0%EA%B0%80%EC%8A%A4&channel=user,라스베가스.png
스플랜더,보드게임카페에서 한번쯤은 해보는 Hot한 게임! 보석으로 개발카드를 사고 귀족의 도움을 받아 더 많은 부를 축적해 이기는 게임 전략게임 처음 한다면 추천!!,전략,30,2,2,4,2014,10,https://www.youtube.com/watch?v=uHGyzjH9CkQ,https://namu.wiki/w/%EC%8A%A4%ED%94%8C%EB%A0%8C%EB%8D%94,https://www.coupang.com/vp/products/7309462?itemId=32262774&vendorItemId=3007143232&pickType=COU_PICK&q=%EC%8A%A4%ED%94%8C%EB%9E%9C%EB%8D%94&itemsCount=36&searchId=751bd5949c5d48b7b6f193bf51e9fa62&rank=0,스플렌더.png
뱅,숨막히는 서부의 총격전! 누가 부관이고 누가 무법자 일까? 신분을 숨긴 총잡이들 사이에서 보안관은 악당을 처치할수있을까요? 가장 유명한 마피아 보드게임!,전략,45,3,4,7,2002,10,https://www.youtube.com/watch?v=DcI7tsUoCnM&ab_channel=%EC%BD%94%EB%A6%AC%EC%95%84%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84%EC%A6%88,https://namu.wiki/w/%EB%B1%85(%EB%B3%B4%EB%93%9C%20%EA%B2%8C%EC%9E%84),https://www.coupang.com/vp/products/1746995?itemId=65639577&vendorItemId=3000165036&pickType=COU_PICK&q=%EB%B1%85&itemsCount=36&searchId=8efe5927905142aa941edc2ba9d73f05&rank=0&isAddedCart=,뱅.png
부루마블,세계여행을 즐기는 인생 투자게임! 땅을 사고 투자를 잘해서 많은 돈을 모아보자!!,전략,60,2,2,4,1982,8,https://www.youtube.com/watch?v=ks1RCgOrTic&ab_channel=%EC%95%8C%EC%93%B8%EC%8B%A0%EC%84%A0%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84TV,https://namu.wiki/w/%EB%B6%80%EB%A3%A8%EB%A7%88%EB%B6%88?from=%EB%B6%80%EB%A3%A8%EB%A7%88%EB%B8%94,https://www.coupang.com/vp/products/175546357?itemId=501963136&vendorItemId=79679823023&q=%EB%B6%80%EB%A3%A8%EB%A7%88%EB%B8%94&itemsCount=36&searchId=c0a7c7ec6d5a49879f22ab448b169607&rank=1&isAddedCart=,부루마불.png
더 게임,서로가 예민해지는 협력게임! 서로 말하지 못하고 눈치로만 협력해서 게임을 이겨보자 과연 우리의 팀워크는 어떨까?,전략,20,2,2,4,2015,8,https://www.youtube.com/watch?v=Rirro1j4Yjg&pp=ygUd642U6rKM7J6EIOuztOuTnOqyjOyehCDshKTrqoU%3D&ab_channel=%EB%B3%B4%EB%93%9C%EB%9D%BC%EC%9D%B4%EB%B8%8CBoardLiveGame,https://namu.wiki/w/%EB%8D%94%20%EA%B2%8C%EC%9E%84?rev=61,https://boardm.co.kr/front/product/product_detail.php?seq=13471&pinid=,더 게임.png
달무티,내가 왕이 될 상인가? 중세 유럽 배경의 왕 게임! 승패에 따라 나의 신분이 정해진다! 왕이 되기 위해 남들보다 빨리 카드를 모두 내자,전략,30,2,4,7,1995,8,https://www.youtube.com/watch?v=sO-vxnoL31A,https://namu.wiki/w/%EB%8B%AC%EB%AC%B4%ED%8B%B0,https://www.coupang.com/vp/products/6439875832?itemId=13935327783&vendorItemId=3148459906&pickType=COU_PICK&q=%EB%8B%AC%EB%AC%B4%ED%8B%B0&itemsCount=36&searchId=44d3b53161b24d3b8bdf4db4bc456526&rank=0&isAddedCart=,달무티.png
센추리:향신료의 길,향신료를 모아 점수를 내자! 남들 보다 빨리 향신료를 모으기위해 신중하게 카드를 모으자,전략,35,3,2,5,2017,8,https://www.youtube.com/watch?v=YGHlaYV-_Dk&ab_channel=%EC%95%8C%EC%93%B8%EC%8B%A0%EC%84%A0%EB%B3%B4%EB%93%9C%EA%B2%8C%EC%9E%84TV,https://namu.wiki/w/%EC%84%BC%EC%B6%94%EB%A6%AC(%EB%B3%B4%EB%93%9C%20%EA%B2%8C%EC%9E%84),https://www.coupang.com/vp/products/2118958543?itemId=3597474544&vendorItemId=71583198334&q=%EC%84%BC%EC%B6%94%EB%A6%AC1&itemsCount=36&searchId=9f1995c6159c489d8254d7fbd56dd511&rank=1,센추리 향신료의 길.png
